aakkosellinen	الفبایی
aakkoset	الفبا
aakkosto	الفبا
aallokko	ریز ریز کردن ، بریدن ، جدا کردن ، شکستن, باد کردن ، اماس کردن ، متورم کردن ، باد غرور داشتن ، تورم ، برجستگی ، برجسته ، شیک ، زیبا (د.گ.- امر.) عال
aallonharja	اوج ، راس ، قله ، منتها درجه ، باوج رسیدن, تاج ، کلا له ، قله ، یال ، بالا ترین درجه ، به بالا ترین درجه رسیدن ، ستیغ, اوج ، قله ، حد اعلی, نوک ، قله ، راس ، کلا ه نوک تیز ، منتها درجه ، حداکثر ، کاکل ، فرق سر ، دزدیدن ، تیز شدن ، بصورت نوک تیز درامدن ، به نقطه اوج رسیدن ، نحیف شدن
aallonmurtaja	موج شکن
aallonpituus	طول موج
aallonpituusalue	بند و زنجیر ، تسمه یا بند مخصوص محکم کردن ، نوار ، لولا ، ارکستر ، دسته ء موسیقی ، اتحاد ، توافق ، روبان ، باند یا بانداژ ، نوار زخم بندی ، متحد کردن ، دسته کردن ، نوار پیچیدن ، بصورت نوار در اوردن ، با نوار بستن ، متحد شدن
aallonpohja	کمترین و نازلترین قیمت ، پایین ترین قسمت, ابشخور ، سنگاب ، تغار
aaltoileva	پرچین و شکن ، پرموج ، پر تلا طم ، جنبش بعقب و جلو ، متموج
aaltoilla	ضربه ، صدای چلپ ، اویخته وشل ، برگه یا قسمت اویخته ، زبانه کفش ، بال وپرزدن مرغ بهم زدن ، پرزدن ، دری وری گفتن, موج بلند ، موج غلتان ، موج خروشان ، جریان سریع وغیر عادی ، برق موجی از هوا ، تشکیل موج دادن ، موجدار بودن ، خروشان بودن ، موج زدن, موج دار کردن ، تموج داشتن ، موجدار بودن ، نوسان داشتن, موج ، خیزاب ، فر موی سر ، دست تکان دادن ، موجی بودن ، موج زدن
aaltopituus	طول موج
aamen	امین ، چنین باد ، خداکند ، انشاء الله
aamiainen	صبحانه ، ناشتایی ، افطار ، صبحانه خوردن
aamu	بامداد ، صبح ، پیش از ظهر
aamuateria	صبحانه ، ناشتایی ، افطار ، صبحانه خوردن
aamuisin	هر بامداد ، هر صبح
aamunkoitto	سپیده دم ، فجر ، سرخی شفق ، اغاز, سپیده دم ، صدای بانگ خروس, صبح ، سپیده دم ، بامداد, بامداد ، صبح ، پیش از ظهر, طلوع افتاب ، طلوع خورشید ، تیغ افتاب ، مشرق, طلوع افتاب
aamunsarastus	فجر ، سپیده دم ، طلوع ، اغاز ، اغاز شدن
aamup iv	بامداد ، صبح ، پیش از ظهر
aamupala	صبحانه ، ناشتایی ، افطار ، صبحانه خوردن
aamupivisin	هر بامداد ، هر صبح
aamurusko	سپیده دم ، فجر ، سرخی شفق ، اغاز, فجر ، سپیده دم ، طلوع ، اغاز ، اغاز شدن
aapinen	کتاب الفباء ، مبادی اولیه ، بتونه ، چاشنی ، وابسته بدوران بشر اولیه ، باستانی ، ابتدایی
aapiskirja	کتاب الفباء ، مبادی اولیه ، بتونه ، چاشنی ، وابسته بدوران بشر اولیه ، باستانی ، ابتدایی
aaria	اواز یکنفره
aarniomets	جنگل
aarre	گنج ، گنجینه ، خزانه ، ثروت ، جواهر ، گنجینه اندوختن ، گرامی داشتن ، دفینه
aarrekammio	خزانه داری ، گنجینه ، گنج ، خزانه, طاق ، گنبد ، قپه ، سردابه ، هلا ل طاق ، غار ، مغاره ، گنبد یا طاق درست کردن ، جست زدن ، پریدن ، جهش
aasi	خر ، الا غ ، ادم نادان و کند ذهن ، کون, الا غ ، خر ، ادم نادان وکودن
aasialainen	اسیایی
aataminaikainen	باستانی ، دیرینه ، قدیمی ، کهن ، کهنه ، پیر
